"Timestamp","Concentration","Degree Program (e.g. MA, MIPP, PhD)","Expected Graduation Year","Who would you support for the Democratic nomination for president?","For what reason(s) do you believe the candidate chosen above would represent your interests better than others","If your Democratic candidate of choice is not selected, will you still vote Democrat or abstain from voting?","Who do you think is the most likely candidate to become the Democratic nominee for president in 2020?","As of right now, what do you think the chances are that Donald Trump gets reelected in November – do you think he will definitely get reelected, probably get reelected, probably lose to the Democrat, or definitely lose to the Democrat? "
"2020/02/17 2:22:39 PM EST","Latin American Studies","MA","2020","Elizabeth Warren","","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 2:23:48 PM EST","International Political Economy","MA","2020","Bernie Sanders","I feel Sanders is the only candidate truly willing to take on powerful corporate and political embedded interests that severely inhibit true representation in American government.  His support is the most diverse and the most working-class of all the candidates, which I think reflects the broad appeal of his platform and his unabashed genuineness.","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 2:24:13 PM EST","Strat ","MA","2020","Mike Bloomberg","Most qualified ","I will still vote for the Democrat","Elizabeth Warren","2"
"2020/02/17 2:30:11 PM EST","Strategic Studies","MA","2020","Elizabeth Warren","She has an ambitious vision for the country and a whole lot of plans as to how to accomplish it, she is professional, crazy smart, builds relationships well, and is willing to learn from others. ","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 2:32:26 PM EST","Strategic Studies","MA","2020","Joe Biden","Biden is the most experienced candidate, and his senior staff - probable future administration appointees - have far more Executive Branch experience than those of other candidates.","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 2:34:56 PM EST","Strategic Studies","MA","2020","Elizabeth Warren","Best practiced logic.","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 2:36:34 PM EST","European Eurasian Studies","MA","2020","Pete Buttigieg","I am a political moderate and prefer a pragmatic, unifying candidate that can convince centrists and actually WIN the election. I also find that Pete has an impressive background ","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 3:00:23 PM EST","Strat","MA","2020","Bernie Sanders","Bernie is an honest person compared to most of the other Democrats. ","Abstain from voting","Bernie Sanders","2"
"2020/02/17 3:05:24 PM EST","Strategic Studies","MA","2020","Joe Biden","I am a political (social and economic) centrist, and I believe that a Biden Administration would keep enough Republican moderates on side to be able to push through good legislation to repair some of the damage of the Trump years to our foreign policy. It would also allow for some necessary domestic social and economic reforms without bringing the country to a crisis point. ","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 3:08:53 PM EST","Strategic Studies","MA","2020","Mike Bloomberg","","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 3:14:16 PM EST","IDEV","MA","2020","Bernie Sanders","An idealist who means what he says (i.e. trustworthy) and has core principles/values. Very progressive agenda that includes social and environmental action urgently needed to address an economic and political system that is neither equitable nor inclusive or sustainable.","I will still vote for the Democrat","Mike Bloomberg","2"
"2020/02/17 3:20:31 PM EST","IDEV","MA","2020","Bernie Sanders","I trust his message and support him because he is the only candidate that is focused on talking about issues such as inequality and universal access to healthcare. He is talking about the issues normal citizens are concerned about but we don't hear politicians talking about it that often because they are immune from it and cater to wealthy donors and corporations that fund their election.  ","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 3:26:07 PM EST","Idev","MA","2020","Elizabeth Warren","Experience & policies ","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 3:27:18 PM EST","International law and Organizations","MA","2020","Elizabeth Warren","Identifies corruption as a big issue with governance, brings a new perspective (woman)","I will still vote for the Democrat","Mike Bloomberg","2"
"2020/02/17 3:28:20 PM EST","Cuck Studies","MA in Cuck","2020","Undecided","Because I am a cuck","I will still vote for the Democrat","Tulsi Gabbard","5"
"2020/02/17 3:29:01 PM EST","Middle East Studies ","MA ","2021","Amy Klobuchar","She’s more centrist, a woman candidate and able to attract voters from both parties who don’t want to vote trump ","I will still vote for the Democrat","Bernie Sanders","1"
"2020/02/17 3:34:06 PM EST","Strategic Studies","MA","2020","Amy Klobuchar","Klobuchar takes a moderate approach that I think would resonate more with a broader portion of the population. My main interest is for Trump to not get re-elected. Klobuchar  will implement needed policy changes without going so far left that she isolates moderates. Her background also makes her better qualified than other moderates running like Buttigieg. ","I will still vote for the Democrat","Pete Buttigieg","2"
"2020/02/17 3:36:29 PM EST","AFP","MA","2020","Bernie Sanders","HES GOING TO FORGIVE ALL THE LOANS","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 3:42:58 PM EST","Strategic Studies","MA","2020","Pete Buttigieg","","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 3:45:10 PM EST","China Studies","MA","2020","Bernie Sanders","Economic Issues","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 3:53:40 PM EST","Strat","MA","2020","Elizabeth Warren","","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 4:05:02 PM EST","Strategic Studies","MA","2020","Mike Bloomberg","Best matchup against Trump; capable and moderate","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 4:05:30 PM EST","European & Eurasian Studies","MA","2020","Pete Buttigieg","","I will still vote for the Democrat","Joe Biden","1"
"2020/02/17 4:12:09 PM EST","IPE","MA","2020","Elizabeth Warren","","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 4:23:30 PM EST","International Political Economy","MA","2020","Pete Buttigieg","Gabbard is more interested in stirring the pot than running the country.

Billionaires using their personal wealth to finance their campaign is undemocratic and should be limited along with citizens united. Personal spending on a campaign should have a cap just like donations have a $2,800 limit, perhaps raised to $10,000-$100,000 to allow lesser-known candidates to use their savings to start their campaign. This eliminates Steyer and Bloomberg.

Klobuchar would be a great vice president and implementing the president's agenda, but her skills are more important in management than leadership. She will be an important asset in wrangling Congress, but the presidency is about more than spending all day getting republicans and democrats to work together on a bill. She doesn't have the vision or forward-looking nature I am looking for.

I see similar qualities in Biden. Above all I am turned off by entitlement and Joe Biden is the definition of the candidate who thinks its ""his time"" just like Hillary Clinton thought it was her turn to be president. While he would surely undo as much damage as he can through the executive branch, all of the candidates will do that. Supporting a candidate requires more than that and unfortunately he's happy to to put the country in neutral for 4 years when we don't have 4 years to waste. 

Sanders is completely uninterested in debate, considering others' ideas, or working together whatsoever. I think the lack of representation of his form of politics in the House and Senate shows a lack of support at the state level in any form of a socialist revolution. 

That leaves Warren and Buttigieg. I think both do well in presenting their idea, though different, of a next generation of American politics. Both are well-versed in policy and could return civility to politics. Warren, brings more experience, but Buttigieg's moderation may be more palatable to a larger number of supporters. However, Buttigieg's lack of support (and frankly disappointing record on race) is troublesome in terms of election and policy. That being said, choosing a vice president of color would help both of these areas, particularly if this vice president is given significant responsibility in tackling issues of race. 

Overall, I have to choose the candidate whose vision for a country I believe in most and that is Buttigieg. While there are areas I would like too see him improve on, I have to trust in his ability to govern and that he will surround himself with the right people to tackle the areas in which he is weakest.

","I will still vote for the Democrat","Elizabeth Warren","3"
"2020/02/17 4:24:05 PM EST","AFP","MA","2020","Joe Biden","His moderate policies are the most tenable and best for the future of the US. ","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 5:29:18 PM EST","American Foreign Policy","MA","2020","Elizabeth Warren","Elizabeth Warren has comprehensive policy plans and will be able to take clear and decisive action.","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 5:30:03 PM EST","Japan Studies","MA","2020","Bernie Sanders","Bold ideas on climate change, and an overall eye for overhauling systemic issues around poverty and inequality","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 5:30:52 PM EST","China","MA","2020","Mike Bloomberg","","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 5:49:31 PM EST","Conflict Management ","MA","2020","Elizabeth Warren","Her policies and priorities- I strongly see eye to eye with Sanders’ policies as well, but I’m less in line with his priorities. I think he puts inequities almost exclusively in the lens of wealth disparity, with inadequate focus on identity based systematic oppression like race, gender, sexuality, etc. ","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 5:58:24 PM EST","ERE","MA","2020","Elizabeth Warren","","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 6:33:17 PM EST","Southeast Asia Studies","MA","2020","Bernie Sanders","Viable Candidate for Corporate Takedown","I will still vote for the Democrat","Bernie Sanders","2"
"2020/02/17 6:53:48 PM EST","Idev","MA","2020","Amy Klobuchar","Not an insane socialist","Abstain from voting","Bernie Sanders","2"
"2020/02/17 7:02:12 PM EST","IDEV","MA","2020","Bernie Sanders","Socialism or Barbarism ","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 7:09:20 PM EST","LASP","MA","2020","Bernie Sanders","Rest are neoliberals ","Abstain from voting","Mike Bloomberg","2"
"2020/02/17 7:13:19 PM EST","International Development","MA","2020","Elizabeth Warren","","I will still vote for the Democrat","Pete Buttigieg","2"
"2020/02/17 7:22:41 PM EST","African Studies ","MA","2020","Bernie Sanders","","I will still vote for the Democrat","Bernie Sanders","3"
